,datetime,ema,sma,rsi,close
999,2019-07-02,134.97077,135.49222,63.93971,136.58
998,2019-07-03,135.46862,135.54889,65.82381,137.46001
997,2019-07-05,135.78689,135.55889,64.18224,137.06
996,2019-07-08,136.02152,135.46778,63.75422,136.96001
995,2019-07-09,136.10921,135.80445,61.54405,136.46001
994,2019-07-10,136.45737,136.24,65.16002,137.85001
993,2019-07-11,136.8459,136.71222,66.50217,138.39999
992,2019-07-12,137.25672,137.26111,67.71965,138.89999
991,2019-07-15,137.58537,137.61889,67.71965,138.89999
990,2019-07-16,137.4843,137.67445,58.71146,137.08
989,2019-07-17,137.24144,137.54222,55.19259,136.27
988,2019-07-18,137.07715,137.47111,55.72182,136.42
987,2019-07-19,136.98572,137.43333,56.46026,136.62
986,2019-07-22,137.27457,137.65222,62.5478,138.42999
985,2019-07-23,137.67766,137.81222,65.04831,139.28999
984,2019-07-24,138.28613,138.07,68.7808,140.72
983,2019-07-25,138.6669,138.21333,65.96895,140.19
982,2019-07-26,139.20152,138.48444,68.93639,141.34
981,2019-07-29,139.56722,138.92333,67.23444,141.03
980,2019-07-30,139.72377,139.37666,63.52933,140.35001
979,2019-07-31,139.03302,139.36,46.8477,136.27
978,2019-08-01,138.83842,139.52,52.7141,138.06
977,2019-08-02,138.45073,139.35,48.94409,136.89999
976,2019-08-05,137.20259,138.56333,37.32214,132.21001
975,2019-08-06,136.70007,137.89333,44.78795,134.69
974,2019-08-07,136.41606,137.34778,46.42297,135.28
973,2019-08-08,136.91084,137.07556,55.17069,138.89
972,2019-08-09,137.07068,136.70667,52.17214,137.71001
971,2019-08-12,136.81454,136.2,47.63541,135.78999
970,2019-08-13,137.17163,136.45889,53.94715,138.60001
969,2019-08-14,136.53331,136.00556,44.45884,133.98
968,2019-08-15,135.96264,135.64778,43.91866,133.67999
967,2019-08-16,135.99612,136.08333,49.33284,136.13
966,2019-08-19,136.47889,136.49667,53.80259,138.41
965,2019-08-20,136.63511,136.71667,51.34232,137.25999
964,2019-08-21,137.06609,136.70555,54.33421,138.78999
963,2019-08-22,137.20887,136.71333,52.05859,137.78
962,2019-08-23,136.4451,136.44667,43.52561,133.39
961,2019-08-26,136.24608,136.09666,47.84563,135.45
960,2019-08-27,136.14486,136.29222,48.44355,135.74001
959,2019-08-28,136.02789,136.50111,48.07514,135.56
958,2019-08-29,136.44631,136.72222,53.4922,138.12
957,2019-08-30,136.72905,136.66111,52.88872,137.86
956,2019-09-03,136.59124,136.52555,48.74321,136.03999
955,2019-09-04,136.79899,136.39667,52.26349,137.63
954,2019-09-05,137.44919,136.64889,57.09351,140.05
953,2019-09-06,137.77936,137.28333,54.75152,139.10001
952,2019-09-09,137.72749,137.51333,51.00416,137.52
951,2019-09-10,137.39799,137.55111,47.79354,136.08
950,2019-09-11,137.14239,137.61333,47.89165,136.12
949,2019-09-12,137.21791,137.54667,51.33899,137.52
948,2019-09-13,137.23833,137.48667,50.82174,137.32001
947,2019-09-16,137.05667,137.51889,48.23124,136.33
946,2019-09-17,137.12333,137.49222,51.105,137.39
945,2019-09-18,137.40267,137.32222,54.03438,138.52
944,2019-09-19,138.13613,137.54111,59.87632,141.07001
943,2019-09-20,138.39691,137.75445,55.0592,139.44
942,2019-09-23,138.54553,138.09445,54.19501,139.14
941,2019-09-24,138.31242,138.23445,49.30567,137.38
940,2019-09-25,138.52194,138.43889,54.3007,139.36
939,2019-09-26,138.72555,138.68556,54.73731,139.53999
938,2019-09-27,138.52644,138.84111,49.60495,137.73
937,2019-09-30,138.62715,139.02333,53.01268,139.03
936,2019-10-01,138.31572,138.86222,47.76811,137.07001
935,2019-10-02,137.58258,138.14889,42.21489,134.64999
934,2019-10-03,137.32206,137.79778,46.70874,136.28
933,2019-10-04,137.48165,137.68444,51.31172,138.12
932,2019-10-07,137.40932,137.65555,48.84256,137.12
931,2019-10-08,137.06145,137.24555,45.42892,135.67
930,2019-10-09,137.29716,137.10111,51.85208,138.24001
929,2019-10-10,137.65773,137.25333,53.81124,139.10001
928,2019-10-11,138.06218,137.32555,55.13706,139.67999
927,2019-10-14,138.35975,137.60111,54.75769,139.55
926,2019-10-15,139.0018,138.37,59.4293,141.57001
925,2019-10-16,139.28344,138.82889,55.86207,140.41
924,2019-10-17,139.36475,139.00333,53.7072,139.69
923,2019-10-18,138.9738,139.03556,47.4634,137.41
922,2019-10-21,138.86504,139.34222,50.24988,138.42999
921,2019-10-22,138.36603,139.13445,45.05267,136.37
920,2019-10-23,138.14083,138.92778,47.52133,137.24001
919,2019-10-24,138.50066,138.95667,54.37249,139.94
918,2019-10-25,138.94653,139.08778,56.17528,140.73
917,2019-10-28,139.99522,139.37889,63.05957,144.19
916,2019-10-29,140.56218,139.64778,59.12788,142.83
915,2019-10-30,141.37174,140.19444,62.42959,144.61
914,2019-10-31,141.77139,140.85667,58.86231,143.37
913,2019-11-01,142.16112,141.44444,59.56465,143.72
912,2019-11-04,142.63889,142.35333,61.254,144.55
911,2019-11-05,143.00312,143.15556,60.95662,144.46001
910,2019-11-06,143.21449,143.61333,59.57226,144.06
909,2019-11-07,143.42359,144.00556,60.06065,144.25999
908,2019-11-08,143.93088,144.20222,64.0376,145.96001
907,2019-11-11,144.3667,144.56667,64.37467,146.11
906,2019-11-12,144.90736,144.84,66.53651,147.07001
905,2019-11-13,145.38789,145.27778,67.07441,147.31
904,2019-11-14,145.92231,145.76,68.7642,148.06
903,2019-11-15,146.73185,146.36222,72.61828,149.97
902,2019-11-18,147.45348,147.01556,73.3054,150.34
901,2019-11-19,148.04078,147.71889,73.40255,150.39
900,2019-11-20,148.35663,148.31444,69.22499,149.62
899,2019-11-21,148.5813,148.70555,68.46207,149.48
898,2019-11-22,148.78304,149.09222,68.75346,149.59
897,2019-11-25,149.27243,149.55444,72.78992,151.23
896,2019-11-26,149.82394,150.07889,74.51913,152.03
895,2019-11-27,150.32316,150.55222,75.136,152.32001
894,2019-11-29,150.53453,150.70889,69.2814,151.38
893,2019-12-02,150.33762,150.62111,59.55265,149.55
892,2019-12-03,150.1321,150.50111,58.39449,149.31
891,2019-12-04,150.07568,150.52667,60.26682,149.85001
890,2019-12-05,150.04654,150.57667,60.55002,149.92999
889,2019-12-06,150.38723,150.81667,66.41553,151.75
888,2019-12-09,150.58179,150.83111,64.21233,151.36
887,2019-12-10,150.69143,150.73111,62.88742,151.13
886,2019-12-11,150.89314,150.66222,64.82448,151.7
885,2019-12-12,151.36252,150.86889,69.46215,153.24001
884,2019-12-13,151.99601,151.42222,72.70811,154.53
883,2019-12-16,152.70281,152.11333,74.9325,155.53
882,2019-12-17,153.10025,152.65111,69.78714,154.69
881,2019-12-18,153.3542,153.14444,67.87499,154.37
880,2019-12-19,153.82536,153.58445,71.40786,155.71001
879,2019-12-20,154.54229,154.25667,75.14262,157.41
878,2019-12-23,155.11583,154.95445,75.14262,157.41
877,2019-12-24,155.56867,155.58556,74.94228,157.38
876,2019-12-26,156.18893,156.18889,77.69608,158.67
875,2019-12-27,156.74315,156.68111,78.27414,158.96001
874,2019-12-30,156.91252,156.91,69.15571,157.59
873,2019-12-31,157.07001,157.24445,69.46331,157.7
872,2020-01-02,157.78001,157.93889,76.23764,160.62
871,2020-01-03,157.94801,158.26222,65.51679,158.62
870,2020-01-06,158.16441,158.44222,66.55511,159.03
869,2020-01-07,158.04752,158.46111,59.70781,157.58
868,2020-01-08,158.45602,158.76222,66.1919,160.09
867,2020-01-09,159.18281,159.14222,70.29407,162.09
866,2020-01-10,159.61425,159.40666,67.01046,161.34
865,2020-01-13,160.3474,160.03889,70.80893,163.28
864,2020-01-14,160.70392,160.53111,65.96057,162.13
863,2020-01-15,161.19914,160.81555,68.10774,163.17999
862,2020-01-16,162.19331,161.65444,73.27712,166.17
861,2020-01-17,163.17465,162.55111,74.65329,167.10001
860,2020-01-21,163.83972,163.54222,72.07445,166.5
859,2020-01-22,164.21177,164.16555,68.66837,165.7
858,2020-01-23,164.71342,164.68,70.57755,166.72
857,2020-01-24,164.77873,165.09111,63.69337,165.03999
856,2020-01-27,164.27899,164.98,54.31943,162.28
855,2020-01-28,164.51519,165.35,61.3732,165.46001
854,2020-01-29,165.22015,165.89,65.96506,168.03999
